File name;Path;Last modification date;SHA-512;Size in Bytes
SOUND049.BLP;Speedy_Blupi_II/SOUND/SOUND049.BLP;1998-05-12 12:55:32:000;001399674af2203fd44553dd1169c8da1943bb134b38991ca32ff41159392f13fd13cbdcc25bd7e2332d1b40ef5de43069ba97d136f95191365cac224c15d644;138570
sound049.blp;Speedy_Blupi_Demo/Sound/sound049.blp;1998-05-12 11:55:32:000;001399674af2203fd44553dd1169c8da1943bb134b38991ca32ff41159392f13fd13cbdcc25bd7e2332d1b40ef5de43069ba97d136f95191365cac224c15d644;138570
SOUND049.BLP;Speedy Eggbert/Game/SOUND/SOUND049.BLP;1998-05-12 08:55:32:000;001399674af2203fd44553dd1169c8da1943bb134b38991ca32ff41159392f13fd13cbdcc25bd7e2332d1b40ef5de43069ba97d136f95191365cac224c15d644;138570
SOUND049.BLP;Speedy Eggbert 2/SOUND/SOUND049.BLP;1998-05-12 12:55:32:000;001399674af2203fd44553dd1169c8da1943bb134b38991ca32ff41159392f13fd13cbdcc25bd7e2332d1b40ef5de43069ba97d136f95191365cac224c15d644;138570
SOUND049.BLP;Speedy_Blupi_I/SOUND/SOUND049.BLP;1998-05-12 14:10:32:000;001399674af2203fd44553dd1169c8da1943bb134b38991ca32ff41159392f13fd13cbdcc25bd7e2332d1b40ef5de43069ba97d136f95191365cac224c15d644;138570
SOUND049.BLP;Speedy_Eggbert_Demo/SOUND/SOUND049.BLP;1998-05-12 08:55:32:000;001399674af2203fd44553dd1169c8da1943bb134b38991ca32ff41159392f13fd13cbdcc25bd7e2332d1b40ef5de43069ba97d136f95191365cac224c15d644;138570
MULTI.BLP;Speedy_Blupi_II/IMAGE16/MULTI.BLP;1999-07-01 10:35:24:000;011333eb3a63cb3bd05b5ee9b3e21e0c57b6eceb8845df39e072b0eb89f014337d899aaa4a56c6f08201471704a2e6e77fd5ecc3e7df5cbaf6512e69f49887d3;921654
multi.blp;Speedy Eggbert 2/IMAGE16/multi.blp;1999-07-01 10:35:24:000;011333eb3a63cb3bd05b5ee9b3e21e0c57b6eceb8845df39e072b0eb89f014337d899aaa4a56c6f08201471704a2e6e77fd5ecc3e7df5cbaf6512e69f49887d3;921654
DECOR023.BLP;Speedy_Blupi_II/IMAGE16/DECOR023.BLP;2000-09-20 00:23:30:000;0116884cb2259286271779ed16c2af9d8bfd64b1041d03c465874d610c28e772436c202d4ea53aa3554d2c3cff0cb4bc087422558307e58927a927a66100197d;921654
decor023.blp;Speedy Eggbert 2/IMAGE16/decor023.blp;2000-09-20 00:23:30:000;0116884cb2259286271779ed16c2af9d8bfd64b1041d03c465874d610c28e772436c202d4ea53aa3554d2c3cff0cb4bc087422558307e58927a927a66100197d;921654
SOUND053.BLP;Speedy_Blupi_II/SOUND/SOUND053.BLP;1996-05-19 16:40:54:000;01792e3baab9fd7051c003f609740ee1e72a524c363d4ce0601f7521510f4f354506b2ee5eb8c743e6b8a0574ec51776423b864ef1d338c25f22bf5f9e4b171d;10850
sound053.blp;Speedy_Blupi_Demo/Sound/sound053.blp;1996-05-19 15:40:54:000;01792e3baab9fd7051c003f609740ee1e72a524c363d4ce0601f7521510f4f354506b2ee5eb8c743e6b8a0574ec51776423b864ef1d338c25f22bf5f9e4b171d;10850
SOUND053.BLP;Speedy Eggbert/Game/SOUND/SOUND053.BLP;1996-05-19 12:40:54:000;01792e3baab9fd7051c003f609740ee1e72a524c363d4ce0601f7521510f4f354506b2ee5eb8c743e6b8a0574ec51776423b864ef1d338c25f22bf5f9e4b171d;10850
SOUND053.BLP;Speedy Eggbert 2/SOUND/SOUND053.BLP;1996-05-19 16:40:54:000;01792e3baab9fd7051c003f609740ee1e72a524c363d4ce0601f7521510f4f354506b2ee5eb8c743e6b8a0574ec51776423b864ef1d338c25f22bf5f9e4b171d;10850
SOUND053.BLP;Speedy_Blupi_I/SOUND/SOUND053.BLP;1996-05-19 17:55:54:000;01792e3baab9fd7051c003f609740ee1e72a524c363d4ce0601f7521510f4f354506b2ee5eb8c743e6b8a0574ec51776423b864ef1d338c25f22bf5f9e4b171d;10850
SOUND053.BLP;Speedy_Eggbert_Demo/SOUND/SOUND053.BLP;1996-05-19 12:40:54:000;01792e3baab9fd7051c003f609740ee1e72a524c363d4ce0601f7521510f4f354506b2ee5eb8c743e6b8a0574ec51776423b864ef1d338c25f22bf5f9e4b171d;10850
init.blp;Speedy Eggbert 2/IMAGE08/init.blp;2004-04-15 17:11:42:000;027f40a6f683e60c34272cf658c39b4449ed545b75bdd85ed1903e2eea2fbba3a89c5bb76a5709e873a41ad4dd188bdecb3910d6624f1e9b6e42790ea36e7fbd;308278
help.blp;Speedy_Blupi_Demo/Image/help.blp;1998-04-20 13:49:10:000;02dee27d3bfa4d61da41335471c5ebffa09cd7266a2e05d16521398860ce1875d3d6f9e7457e0ac8438ae1e468dc0534a6479d15581acb349303ee12dfcdaeec;308278
HELP.BLP;Speedy Eggbert/Game/IMAGE08/HELP.BLP;1998-04-20 10:49:10:000;02dee27d3bfa4d61da41335471c5ebffa09cd7266a2e05d16521398860ce1875d3d6f9e7457e0ac8438ae1e468dc0534a6479d15581acb349303ee12dfcdaeec;308278
HELP.BLP;Speedy_Blupi_I/IMAGE08/HELP.BLP;1998-04-20 16:04:10:000;02dee27d3bfa4d61da41335471c5ebffa09cd7266a2e05d16521398860ce1875d3d6f9e7457e0ac8438ae1e468dc0534a6479d15581acb349303ee12dfcdaeec;308278
HELP.BLP;Speedy_Eggbert_Demo/IMAGE08/HELP.BLP;1998-04-20 10:49:10:000;02dee27d3bfa4d61da41335471c5ebffa09cd7266a2e05d16521398860ce1875d3d6f9e7457e0ac8438ae1e468dc0534a6479d15581acb349303ee12dfcdaeec;308278
SOUND087.BLP;Speedy_Blupi_II/SOUND/SOUND087.BLP;1999-10-21 14:35:06:000;02ee8eee3b1da94b9b22165c311b37ca8e63c4d716fb74c6dcf49f8be75b0280eddfffb808664e02256be12b71566f178f2e669d4d4e2e17e9f002625cfc3354;6690
sound087.blp;Speedy Eggbert 2/SOUND/sound087.blp;1999-10-21 14:35:06:000;02ee8eee3b1da94b9b22165c311b37ca8e63c4d716fb74c6dcf49f8be75b0280eddfffb808664e02256be12b71566f178f2e669d4d4e2e17e9f002625cfc3354;6690
bench.blp;Speedy Eggbert 2/DATA/bench.blp;2004-04-30 17:46:30:000;030d40ddc1bea6be618ada83fac41ec7f1dd9e73de10f9dbc45f613b939a4c440801cb3903090fe890f07fa7a445806a5b58acca381ec5e076f621fba42d6b00;16
SOUND082.BLP;Speedy_Blupi_II/SOUND/SOUND082.BLP;1999-10-22 10:07:42:000;0318cb460462ce3c062b1215c10741f699000e14e2da0145f3f1966490e98b7a5d288de045951c4316a621af22cf3115704979af163859b2625fa49fb3747f08;13916
sound082.blp;Speedy Eggbert 2/SOUND/sound082.blp;1999-10-22 10:07:42:000;0318cb460462ce3c062b1215c10741f699000e14e2da0145f3f1966490e98b7a5d288de045951c4316a621af22cf3115704979af163859b2625fa49fb3747f08;13916
SOUND057.BLP;Speedy_Blupi_II/SOUND/SOUND057.BLP;1998-04-06 22:20:54:000;042014f70c5916f1e1efd348c99e7b2ad841dc8ed0d824c2a370be1ae555f183537e76dcac49943648f6b13ccaedaaa7eec410a7e4695079d8f6c0e1ddc834b6;26724
sound057.blp;Speedy_Blupi_Demo/Sound/sound057.blp;1998-04-06 21:20:54:000;042014f70c5916f1e1efd348c99e7b2ad841dc8ed0d824c2a370be1ae555f183537e76dcac49943648f6b13ccaedaaa7eec410a7e4695079d8f6c0e1ddc834b6;26724
SOUND057.BLP;Speedy Eggbert/Game/SOUND/SOUND057.BLP;1998-04-06 18:20:54:000;042014f70c5916f1e1efd348c99e7b2ad841dc8ed0d824c2a370be1ae555f183537e76dcac49943648f6b13ccaedaaa7eec410a7e4695079d8f6c0e1ddc834b6;26724
SOUND057.BLP;Speedy Eggbert 2/SOUND/SOUND057.BLP;1998-04-06 22:20:54:000;042014f70c5916f1e1efd348c99e7b2ad841dc8ed0d824c2a370be1ae555f183537e76dcac49943648f6b13ccaedaaa7eec410a7e4695079d8f6c0e1ddc834b6;26724
SOUND057.BLP;Speedy_Blupi_I/SOUND/SOUND057.BLP;1998-04-06 23:35:54:000;042014f70c5916f1e1efd348c99e7b2ad841dc8ed0d824c2a370be1ae555f183537e76dcac49943648f6b13ccaedaaa7eec410a7e4695079d8f6c0e1ddc834b6;26724
SOUND057.BLP;Speedy_Eggbert_Demo/SOUND/SOUND057.BLP;1998-04-06 18:20:54:000;042014f70c5916f1e1efd348c99e7b2ad841dc8ed0d824c2a370be1ae555f183537e76dcac49943648f6b13ccaedaaa7eec410a7e4695079d8f6c0e1ddc834b6;26724
GAMER.BLP;Speedy Eggbert/Game/IMAGE16/GAMER.BLP;1998-06-21 19:03:22:000;04c40511219485f7ba26237394b4866b819b6a40d52c8c356648e8305029b653522696d3ba3fd902c2e03928d7261f52af0f1aca5ab1ef576064d3e294b76fb7;921654
GAMER.BLP;Speedy_Blupi_I/IMAGE16/GAMER.BLP;1998-06-22 00:18:22:000;04c40511219485f7ba26237394b4866b819b6a40d52c8c356648e8305029b653522696d3ba3fd902c2e03928d7261f52af0f1aca5ab1ef576064d3e294b76fb7;921654
WORLD201.BLP;Speedy Eggbert/Game/DATA/WORLD201.BLP;1998-04-16 06:57:06:000;04f69cfe2e0473223e4ff6a7cafa6117b8afce0049eb48635ea676d21b637be54d2b3eb8975409a413bc2acc493045581ccf4f0157cf456fdc46d5210c4ab611;50468
WORLD201.BLP;Speedy_Blupi_I/DATA/WORLD201.BLP;1998-04-16 12:12:06:000;04f69cfe2e0473223e4ff6a7cafa6117b8afce0049eb48635ea676d21b637be54d2b3eb8975409a413bc2acc493045581ccf4f0157cf456fdc46d5210c4ab611;50468
TEXT.BLP;Speedy_Blupi_II/IMAGE08/TEXT.BLP;1998-05-25 09:28:30:000;051b0d559eed370a19f7d4edfc0f68a182b49c564ff3de2fe3453c2f23cf61661bc923965558a6dca0b5cd75b33e1e7d96174c518add78a4698c09f6a3be9f35;99382
text.blp;Speedy_Blupi_Demo/Image/text.blp;1998-05-25 08:28:30:000;051b0d559eed370a19f7d4edfc0f68a182b49c564ff3de2fe3453c2f23cf61661bc923965558a6dca0b5cd75b33e1e7d96174c518add78a4698c09f6a3be9f35;99382
text.blp;Speedy Eggbert 2/IMAGE08/text.blp;1998-05-25 09:28:30:000;051b0d559eed370a19f7d4edfc0f68a182b49c564ff3de2fe3453c2f23cf61661bc923965558a6dca0b5cd75b33e1e7d96174c518add78a4698c09f6a3be9f35;99382
TEXT.BLP;Speedy_Blupi_I/IMAGE08/TEXT.BLP;1998-05-25 10:43:30:000;051b0d559eed370a19f7d4edfc0f68a182b49c564ff3de2fe3453c2f23cf61661bc923965558a6dca0b5cd75b33e1e7d96174c518add78a4698c09f6a3be9f35;99382
TEXT.BLP;Speedy_Eggbert_Demo/IMAGE08/TEXT.BLP;1998-05-25 05:28:30:000;051b0d559eed370a19f7d4edfc0f68a182b49c564ff3de2fe3453c2f23cf61661bc923965558a6dca0b5cd75b33e1e7d96174c518add78a4698c09f6a3be9f35;99382
explo.blp;Speedy_Blupi_Demo/Image/explo.blp;1998-05-10 23:52:18:000;060f922cad038a149c3a25374f5488e0ba050011c345b9eae60b0b7f0745087c214ad99acde722cb406bb7161b243a6cfd1aa2c800bbbfe236a5f2fd2e5f766a;681590
EXPLO.BLP;Speedy Eggbert/Game/IMAGE08/EXPLO.BLP;1998-05-10 20:52:18:000;060f922cad038a149c3a25374f5488e0ba050011c345b9eae60b0b7f0745087c214ad99acde722cb406bb7161b243a6cfd1aa2c800bbbfe236a5f2fd2e5f766a;681590
EXPLO.BLP;Speedy_Blupi_I/IMAGE08/EXPLO.BLP;1998-05-11 02:07:18:000;060f922cad038a149c3a25374f5488e0ba050011c345b9eae60b0b7f0745087c214ad99acde722cb406bb7161b243a6cfd1aa2c800bbbfe236a5f2fd2e5f766a;681590
EXPLO.BLP;Speedy_Eggbert_Demo/IMAGE08/EXPLO.BLP;1998-05-10 20:52:18:000;060f922cad038a149c3a25374f5488e0ba050011c345b9eae60b0b7f0745087c214ad99acde722cb406bb7161b243a6cfd1aa2c800bbbfe236a5f2fd2e5f766a;681590
SOUND017.BLP;Speedy_Blupi_II/SOUND/SOUND017.BLP;1998-01-28 22:07:20:000;0637179b647ee066d56be672fe6772c67e6216f30fce33ec104f75cce8c10183a7bab4fab02cd4e9fad4eb93923c49b305e6ca5fc44eddf79c1539ead15d97d9;16748
sound017.blp;Speedy_Blupi_Demo/Sound/sound017.blp;1998-01-28 21:07:20:000;0637179b647ee066d56be672fe6772c67e6216f30fce33ec104f75cce8c10183a7bab4fab02cd4e9fad4eb93923c49b305e6ca5fc44eddf79c1539ead15d97d9;16748
SOUND017.BLP;Speedy Eggbert/Game/SOUND/SOUND017.BLP;1998-01-28 18:07:20:000;0637179b647ee066d56be672fe6772c67e6216f30fce33ec104f75cce8c10183a7bab4fab02cd4e9fad4eb93923c49b305e6ca5fc44eddf79c1539ead15d97d9;16748
SOUND017.BLP;Speedy Eggbert 2/SOUND/SOUND017.BLP;1998-01-28 22:07:20:000;0637179b647ee066d56be672fe6772c67e6216f30fce33ec104f75cce8c10183a7bab4fab02cd4e9fad4eb93923c49b305e6ca5fc44eddf79c1539ead15d97d9;16748
SOUND017.BLP;Speedy_Blupi_I/SOUND/SOUND017.BLP;1998-01-28 23:22:20:000;0637179b647ee066d56be672fe6772c67e6216f30fce33ec104f75cce8c10183a7bab4fab02cd4e9fad4eb93923c49b305e6ca5fc44eddf79c1539ead15d97d9;16748
SOUND017.BLP;Speedy_Eggbert_Demo/SOUND/SOUND017.BLP;1998-01-28 18:07:20:000;0637179b647ee066d56be672fe6772c67e6216f30fce33ec104f75cce8c10183a7bab4fab02cd4e9fad4eb93923c49b305e6ca5fc44eddf79c1539ead15d97d9;16748
buttons_08-over.gif;Speedy Eggbert/assets/images/buttons_08-over.gif;2000-12-04 14:03:56:000;0712d5d578e299e9a12eb1b870b8b13a6db6fde82e719b933eca242ace6c28e573db4af6784fbe9cb9d5b7b20b64d1aa65868d7179b5f2c95466480412a60cc5;9975
WORLD064.BLP;Speedy_Blupi_II/DATA/WORLD064.BLP;2000-09-21 00:18:06:000;074dc016847fb1e85e1509327715d15b573d155a7793c0a64c239fcd1383202aaacf43608d11d8caef3c4e81c2503c8bbc9a9c676c561c45cfc36cc6d1afc0ee;50468
world064.blp;Speedy Eggbert 2/DATA/world064.blp;2000-09-21 00:18:06:000;074dc016847fb1e85e1509327715d15b573d155a7793c0a64c239fcd1383202aaacf43608d11d8caef3c4e81c2503c8bbc9a9c676c561c45cfc36cc6d1afc0ee;50468
DECOR000.BLP;Speedy_Blupi_II/IMAGE08/DECOR000.BLP;1998-03-10 18:30:54:000;07b96c9e2e7317171a929df783778346e38f530cc1bab14129aa2adc1fe4087331f3991bf437268c9123dfeac17a1089055ba10b4f91bf2027e52d9d5839f43a;308278
decor000.blp;Speedy_Blupi_Demo/Image/decor000.blp;1998-03-10 17:30:54:000;07b96c9e2e7317171a929df783778346e38f530cc1bab14129aa2adc1fe4087331f3991bf437268c9123dfeac17a1089055ba10b4f91bf2027e52d9d5839f43a;308278
DECOR000.BLP;Speedy Eggbert/Game/IMAGE08/DECOR000.BLP;1998-03-10 14:30:54:000;07b96c9e2e7317171a929df783778346e38f530cc1bab14129aa2adc1fe4087331f3991bf437268c9123dfeac17a1089055ba10b4f91bf2027e52d9d5839f43a;308278
decor000.blp;Speedy Eggbert 2/IMAGE08/decor000.blp;1998-03-10 18:30:54:000;07b96c9e2e7317171a929df783778346e38f530cc1bab14129aa2adc1fe4087331f3991bf437268c9123dfeac17a1089055ba10b4f91bf2027e52d9d5839f43a;308278
DECOR000.BLP;Speedy_Blupi_I/IMAGE08/DECOR000.BLP;1998-03-10 19:45:54:000;07b96c9e2e7317171a929df783778346e38f530cc1bab14129aa2adc1fe4087331f3991bf437268c9123dfeac17a1089055ba10b4f91bf2027e52d9d5839f43a;308278
DECOR000.BLP;Speedy_Eggbert_Demo/IMAGE08/DECOR000.BLP;1998-03-10 14:30:54:000;07b96c9e2e7317171a929df783778346e38f530cc1bab14129aa2adc1fe4087331f3991bf437268c9123dfeac17a1089055ba10b4f91bf2027e52d9d5839f43a;308278
SOUND043.BLP;Speedy_Blupi_II/SOUND/SOUND043.BLP;1998-03-13 19:25:40:000;07cbdbabed52955d4c8a0027b47fc6f44041ae6f2db028b4063f070fdff0967059ce0faa4a5a248ff6b965679c850b1c78739e6dd3dcdf4669c6acdb5a11b179;63452
sound043.blp;Speedy_Blupi_Demo/Sound/sound043.blp;1998-03-13 18:25:40:000;07cbdbabed52955d4c8a0027b47fc6f44041ae6f2db028b4063f070fdff0967059ce0faa4a5a248ff6b965679c850b1c78739e6dd3dcdf4669c6acdb5a11b179;63452
SOUND043.BLP;Speedy Eggbert/Game/SOUND/SOUND043.BLP;1998-03-13 15:25:40:000;07cbdbabed52955d4c8a0027b47fc6f44041ae6f2db028b4063f070fdff0967059ce0faa4a5a248ff6b965679c850b1c78739e6dd3dcdf4669c6acdb5a11b179;63452
SOUND043.BLP;Speedy Eggbert 2/SOUND/SOUND043.BLP;1998-03-13 19:25:40:000;07cbdbabed52955d4c8a0027b47fc6f44041ae6f2db028b4063f070fdff0967059ce0faa4a5a248ff6b965679c850b1c78739e6dd3dcdf4669c6acdb5a11b179;63452
SOUND043.BLP;Speedy_Blupi_I/SOUND/SOUND043.BLP;1998-03-13 20:40:40:000;07cbdbabed52955d4c8a0027b47fc6f44041ae6f2db028b4063f070fdff0967059ce0faa4a5a248ff6b965679c850b1c78739e6dd3dcdf4669c6acdb5a11b179;63452
SOUND043.BLP;Speedy_Eggbert_Demo/SOUND/SOUND043.BLP;1998-03-13 15:25:40:000;07cbdbabed52955d4c8a0027b47fc6f44041ae6f2db028b4063f070fdff0967059ce0faa4a5a248ff6b965679c850b1c78739e6dd3dcdf4669c6acdb5a11b179;63452
SOUND066.BLP;Speedy_Blupi_II/SOUND/SOUND066.BLP;1997-04-08 19:10:14:000;081338ff51da24a80af16e42181df7cb84ab6e24338e584ef33cd0ab19955773450783d11b85a5c1227ee41f2705c90505cefffd1423552b7fd3c85ecc8aa6d1;12072
sound066.blp;Speedy Eggbert 2/SOUND/sound066.blp;1997-04-08 19:10:14:000;081338ff51da24a80af16e42181df7cb84ab6e24338e584ef33cd0ab19955773450783d11b85a5c1227ee41f2705c90505cefffd1423552b7fd3c85ecc8aa6d1;12072
SOUND090.BLP;Speedy_Blupi_II/SOUND/SOUND090.BLP;1999-10-21 14:34:44:000;08526df62466a868c5f2781ac0b6d3082d9d411ade01fb77b4e103ccea97c0d4b3803918b009d8332760875134886fd7a66f30015dab2b23480793c1dd0f50aa;6626
sound090.blp;Speedy Eggbert 2/SOUND/sound090.blp;1999-10-21 14:34:44:000;08526df62466a868c5f2781ac0b6d3082d9d411ade01fb77b4e103ccea97c0d4b3803918b009d8332760875134886fd7a66f30015dab2b23480793c1dd0f50aa;6626
galmenu1.csv;Speedy Eggbert/galmenu1.csv;2000-05-18 12:48:06:000;085367c27bbb6f7fd9fbdc49376125e75e0ff19cb31b73af64b5ec7f1d8797c851de91b9d613cfce141b317fd990a7ed53f1e675bfc7511021fa88a1eed898fb;117
galmenu2.csv;Speedy Eggbert/galmenu2.csv;2000-06-15 09:48:40:000;085367c27bbb6f7fd9fbdc49376125e75e0ff19cb31b73af64b5ec7f1d8797c851de91b9d613cfce141b317fd990a7ed53f1e675bfc7511021fa88a1eed898fb;117
WORLD071.BLP;Speedy Eggbert/Game/DATA/WORLD071.BLP;1998-05-23 05:50:20:000;087d44d22c6d42a51b0841b97a4a15a43f8c0195b75c6d2d1d0ca6ceff85a62c3dade19524542c7c60a1c5dba5afc2cb195c77734cd89ab42eac56b6a714c1e7;50468
WORLD071.BLP;Speedy_Blupi_I/DATA/WORLD071.BLP;1998-05-23 11:05:20:000;087d44d22c6d42a51b0841b97a4a15a43f8c0195b75c6d2d1d0ca6ceff85a62c3dade19524542c7c60a1c5dba5afc2cb195c77734cd89ab42eac56b6a714c1e7;50468
EGGBERT.HLP;Speedy_Eggbert_Demo/EGGBERT.HLP;1999-08-11 13:57:30:000;096c3e5fcbe35b06d4a006fbdcd313f0f878c6c2afced0676a5eafb3573ab78d77329df745f61ffe7d885d317383041db4bd1d65e39ff9a8a36b77fdea1e17d9;240832
SOUND033.BLP;Speedy_Blupi_II/SOUND/SOUND033.BLP;1998-05-13 10:29:12:000;09d89c038806994818977537305e586ba107b93601b60040e2561ab783a79fce9c5e1a4f64e051eb1f70e260248fd9f17a352832fd3cf14edc0f021c1a140383;126756
sound033.blp;Speedy_Blupi_Demo/Sound/sound033.blp;1998-05-13 09:29:12:000;09d89c038806994818977537305e586ba107b93601b60040e2561ab783a79fce9c5e1a4f64e051eb1f70e260248fd9f17a352832fd3cf14edc0f021c1a140383;126756
SOUND033.BLP;Speedy Eggbert/Game/SOUND/SOUND033.BLP;1998-05-13 06:29:12:000;09d89c038806994818977537305e586ba107b93601b60040e2561ab783a79fce9c5e1a4f64e051eb1f70e260248fd9f17a352832fd3cf14edc0f021c1a140383;126756
SOUND033.BLP;Speedy Eggbert 2/SOUND/SOUND033.BLP;1998-05-13 10:29:12:000;09d89c038806994818977537305e586ba107b93601b60040e2561ab783a79fce9c5e1a4f64e051eb1f70e260248fd9f17a352832fd3cf14edc0f021c1a140383;126756
SOUND033.BLP;Speedy_Blupi_I/SOUND/SOUND033.BLP;1998-05-13 11:44:12:000;09d89c038806994818977537305e586ba107b93601b60040e2561ab783a79fce9c5e1a4f64e051eb1f70e260248fd9f17a352832fd3cf14edc0f021c1a140383;126756
SOUND033.BLP;Speedy_Eggbert_Demo/SOUND/SOUND033.BLP;1998-05-13 06:29:12:000;09d89c038806994818977537305e586ba107b93601b60040e2561ab783a79fce9c5e1a4f64e051eb1f70e260248fd9f17a352832fd3cf14edc0f021c1a140383;126756
DECOR007.BLP;Speedy_Blupi_II/IMAGE08/DECOR007.BLP;1998-01-29 20:08:34:000;09f8c5b208e638b5a729ab053473c8ee6a0aa2cc27fb5c08c2eab7fc0b2b3db6931e241cb91a8883f4e657af70f76bc4b608adc001df41fa369a46007b3fbd3c;308278
DECOR007.BLP;Speedy Eggbert/Game/IMAGE08/DECOR007.BLP;1998-01-29 16:08:34:000;09f8c5b208e638b5a729ab053473c8ee6a0aa2cc27fb5c08c2eab7fc0b2b3db6931e241cb91a8883f4e657af70f76bc4b608adc001df41fa369a46007b3fbd3c;308278
decor007.blp;Speedy Eggbert 2/IMAGE08/decor007.blp;1998-01-29 20:08:34:000;09f8c5b208e638b5a729ab053473c8ee6a0aa2cc27fb5c08c2eab7fc0b2b3db6931e241cb91a8883f4e657af70f76bc4b608adc001df41fa369a46007b3fbd3c;308278
DECOR007.BLP;Speedy_Blupi_I/IMAGE08/DECOR007.BLP;1998-01-29 21:23:34:000;09f8c5b208e638b5a729ab053473c8ee6a0aa2cc27fb5c08c2eab7fc0b2b3db6931e241cb91a8883f4e657af70f76bc4b608adc001df41fa369a46007b3fbd3c;308278
DECOR007.BLP;Speedy_Eggbert_Demo/IMAGE08/DECOR007.BLP;1998-01-29 16:08:34:000;09f8c5b208e638b5a729ab053473c8ee6a0aa2cc27fb5c08c2eab7fc0b2b3db6931e241cb91a8883f4e657af70f76bc4b608adc001df41fa369a46007b3fbd3c;308278
RES1.DLL;Speedy_Eggbert_Demo/RES1.DLL;1999-10-05 08:31:12:000;09ffba86ddc3be6adb21aff584ce4409668c9728157867b6b4acd15791553e2e6ea9e3d095413272e3e7f34e0422c7c51ae93647e08f165fe620e589423185bd;308278
